url,id,slike,naslov
https://www.realitica.com/hr/listing/1792412,1792412,"[""https://www.realitica.com/images/listing_photos/1792412_8c366dce-ae4b-4007-8f59-2986a193b8ae.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_1329248c-588e-42f5-94ae-c1e3817bbd04.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_8b0962b5-202f-4c4b-a728-e44851c27511.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_e1659805-e865-4ce4-9978-2a8ee56e7f0c.jpeg""]","Iznajmljujem Stan-Apartman, Bečići"
https://www.realitica.com/hr/listing/759672,759672,"[""https://www.realitica.com/images/listing_photos/759672_20161228_141421.jpg"",""https://www.realitica.com/images/listing_photos/759672_20151106_190843.jpg"",""https://www.realitica.com/images/listing_photos/759672_stan-centar-dragan-086.jpg"",""https://www.realitica.com/images/listing_photos/759672_20150618_142647.jpg""]","Iznajmljujem Stan-Apartman, Centar, Budva Područje"
https://www.realitica.com/hr/listing/1641924,1641924,"[""/b_images/1641924_e5221c79-e3c8-47cb-8f52-5e9d90ea180e.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_fa721878-8b2e-40cd-8f5d-71e2d1cfb629.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_0b90ceaf-b679-4021-9270-0d4181ff2447.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_8c630ebf-70dc-40b1-a028-59d41ac6cc67.jpeg""]","Iznajmljujem Stan-Apartman, Igalo"
https://www.realitica.com/hr/listing/759696,759696,"[""https://www.realitica.com/images/listing_photos/759696_p1010647.jpg"",""https://www.realitica.com/images/listing_photos/759696_20150902_094458.jpg"",""https://www.realitica.com/images/listing_photos/759696_dscn2497.jpg"",""https://www.realitica.com/images/listing_photos/759696_10d8ba47e0fd4ae0601a8d88c0504225818834ae4571cc6f9aea78-v.jpg""]","Iznajmljujem Stan-Apartman, Tivat, Tivat Područje"
https://www.realitica.com/hr/listing/514437,514437,"[""https://www.realitica.com/images/listing_photos/514437_img_20190411_203944a.jpg"",""https://www.realitica.com/images/listing_photos/514437_img_20181023_190256.jpg"",""https://www.realitica.com/images/listing_photos/514437_img-368d36bd8c68e1ef4cfb508ab8058716-v.jpg"",""https://www.realitica.com/images/listing_photos/514437_img-dd66f9df01a1518ca17523bbc42f7e62-v.jpg""]",APARTMAN U PODGORICI
https://www.realitica.com/hr/listing/1033481,1033481,"[""https://www.realitica.com/images/listing_photos/1033481_20160307_173800.jpg"",""https://www.realitica.com/images/listing_photos/1033481_copy-of-20160307_172511.jpg"",""https://www.realitica.com/images/listing_photos/1033481_20160307_174315.jpg"",""https://www.realitica.com/images/listing_photos/1033481_20160324_115130.jpg""]","Iznajmljujem Stan-Apartman, Centar"
https://www.realitica.com/hr/listing/759672,759672,"[""https://www.realitica.com/images/listing_photos/759672_20161228_141421.jpg"",""https://www.realitica.com/images/listing_photos/759672_20151106_190843.jpg"",""https://www.realitica.com/images/listing_photos/759672_stan-centar-dragan-086.jpg"",""https://www.realitica.com/images/listing_photos/759672_20150618_142647.jpg""]","Iznajmljujem Stan-Apartman, Centar, Budva Područje"
https://www.realitica.com/hr/listing/769678,769678,"[""https://www.realitica.com/images/listing_photos/769678_imag0361.jpg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---6.jpeg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---1.jpeg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---7.jpeg""]","Iznajmljujem Stan-Apartman, Herceg Novi"
https://www.realitica.com/hr/listing/759696,759696,"[""https://www.realitica.com/images/listing_photos/759696_p1010647.jpg"",""https://www.realitica.com/images/listing_photos/759696_20150902_094458.jpg"",""https://www.realitica.com/images/listing_photos/759696_dscn2497.jpg"",""https://www.realitica.com/images/listing_photos/759696_10d8ba47e0fd4ae0601a8d88c0504225818834ae4571cc6f9aea78-v.jpg""]","Iznajmljujem Stan-Apartman, Tivat, Tivat Područje"
https://www.realitica.com/hr/listing/1033481,1033481,"[""https://www.realitica.com/images/listing_photos/1033481_20160307_173800.jpg"",""https://www.realitica.com/images/listing_photos/1033481_copy-of-20160307_172511.jpg"",""https://www.realitica.com/images/listing_photos/1033481_20160307_174315.jpg"",""https://www.realitica.com/images/listing_photos/1033481_20160324_115130.jpg""]","Iznajmljujem Stan-Apartman, Centar"
